Squad,Responsibility
oss-big-tent-datasources,MySQL data source
oss-big-tent-datasources,PostgreSQL data source
oss-big-tent-datasources,yesoreyeram-infinity-datasource / Infinity
oss-big-tent-datasources,Zabbix app
oss-big-tent-datasources,Github data source
oss-big-tent-datasources,BigQuery data source plugin
oss-big-tent-datasources,Google Sheets data source
oss-big-tent-datasources,Zendesk data source plugin
oss-big-tent-datasources,Cloudflare data source plugin
oss-big-tent-datasources,Yugabyte data source plugin
oss-big-tent-datasources,marcusolsson-csv-datasource / CSV
oss-big-tent-datasources,marcusolsson-json-datasource / JSON API
oss-big-tent-datasources,Simple JSON data source
oss-big-tent-datasources,OPC UA Datasource
partner-datasources,"Azure Monitor data source (Metrics, Logs, Resource Graph, etc)"
partner-datasources,Azure Data Explorer data source
partner-datasources,MSSQL data source
partner-datasources,Cloud Monitoring data source
partner-datasources,Sentry data source
partner-datasources,Clickhouse data source
partner-datasources,Crowdstrike/Humio/Falcon Logscale data source
partner-datasources,Datastax/AstraDB data source
partner-datasources,CosmosDB data source
partner-datasources,SurrealDB data source
partner-datasources,InfluxDB data source
partner-datasources,Graphite data source
partner-datasources,OpenTSDB data source
partner-datasources,CockroachDB data source
plugins-catalog,Polystat Plugin
plugins-catalog,Connections console
plugins-catalog,Plugin Installation and (Auto-) Update flows
plugins-catalog,Plugin catalog on grafana.com and in Grafana UI
plugins-platform,App Config Editor
plugins-platform,Data Source Config Editor
plugins-platform,Clock Panel Plugin
plugins-platform,Singlestat Panel Plugin
plugins-platform,Testdatasource
plugins-platform,Developer Portal
sharing,Playlists
sharing,Shared Dashboards (previously Public Dashboards)
sharing,Snapshots
sharing,Sharing modal
sharing,Reporting
sharing,Image Renderer Plugin
sharing,Dashboard permissions UX
operator-experience,Grafana Migration Assistant
operator-experience,Grafana Migration Service
grafana-frontend-platform,Announcement banner
grafana-frontend-platform,"Any issues with the user interface, including freezing, hanging, crashing, misbehaving page elements, or anything resulting in a frontend stack trace"
