Squad,Responsibility
Enterprise Data Sources,Cloudfare data source plugin
Enterprise Data Sources,Databricks data source plugin
Enterprise Data Sources,DataDog data source plugin
Enterprise Data Sources,DB2 data source plugin
Enterprise Data Sources,Dynatrace data source plugin
Enterprise Data Sources,GitLab data source plugin
Enterprise Data Sources,Honeycomb data source plugin
Enterprise Data Sources,Jira data source plugin
Enterprise Data Sources,Looker data source plugin
Enterprise Data Sources,MongoDB data source plugin
Enterprise Data Sources,Netlify data source plugin
Enterprise Data Sources,NewRelic data source plugin (New Relic)
Enterprise Data Sources,Oracle data source plugin
Enterprise Data Sources,Salesforce data source plugin
Enterprise Data Sources,SAP Hana data source  plugin
Enterprise Data Sources,ServiceNow data source plugin
Enterprise Data Sources,SignalFx data source plugin
Enterprise Data Sources,Snowflake data source plugin
Enterprise Data Sources,Splunk data source plugin
Enterprise Data Sources,SQLyze data source plugin ( ODBC )
Enterprise Data Sources,Sumologic data source plugin
Enterprise Data Sources,WaveFront data source plugin
Enterprise Data Sources,Sumologic data source plugin
Enterprise Data Sources,PagerDuty data source plugin
Enterprise Data Sources,DynamoDB data source plugin
Enterprise Data Sources,Catchpoint data source plugin
Enterprise Data Sources,Plugin-UI npm package
Explore Logs,Logs panel
Explore Logs,Loki data source
Explore Logs,Logs volume
Explore Logs,Explore Logs
Explore Metrics,Prometheus data source
Explore Metrics,Recorded queries
Explore Metrics,Expressions
Explore Metrics,Data Plane
Explore Metrics,Explore Metrics
Explore Traces & Profiling,DS Datalinks (in DS settings)
Explore Traces & Profiling,Explore to dashboard
Explore Traces & Profiling,Traces panel
Explore Traces & Profiling,NodeGraph panel
Explore Traces & Profiling,Flame graph panel
Explore Traces & Profiling,Tempo data source
Explore Traces & Profiling,Pyroscope data source
Explore Traces & Profiling,Explore page
Explore Traces & Profiling,Explore Traces
Grafana App Platform,Dashboards Backend API
Grafana App Platform,Streaming / Live - Backend
Grafana App Platform,MQTT Datasource
Grafana App Platform,Playlists Backend
Grafana App Platform,Grafana APIServer
Grafana App Platform,Swagger
Grafana Backend Group,Go version updates & dependencies gatekeeping
Grafana Backend Group,CLI
Grafana Backend Group,HTTP API
Grafana Backend Group,Logging
Grafana Backend Group,Go API client wrapper (grafana-api-golang-client)
Grafana Backend Group,Grafana (the product) observability
Grafana Backend Group,Redis (service for Grafana Cloud)
Grafana Backend Services,Private Datasource Connect (PDC)
Grafana Backend Services,Grafana feature toggle framework
Grafana Backend Services,Test data and docker containers
Grafana Backend Services,play.grafana.org - Grafana Playground Infra (shared with Community)
Grafana Backend Services,Hosted Grafana API
Grafana Backend Services,Hosted Grafana Controller
Grafana Backend Services,Hosted Grafana Gateway
Grafana Backend Services,Hosted Grafana Infrastructure
Grafana Backend Services,grafana/grafana Docker image
Grafana Backend Services,Mailgun/SES (Email Service)
Grafana Backend Services,Ephemeral Instances
Grafana Backend Services,Deprecation Notices
Grafana Backend Services,Grafana pro build for Microsoft
Grafana Backend Services,Enterprise/Pro build pipelines
Grafana Backend Services,Grafana Build
Grafana Frontend Platform,Query Library
Grafana Frontend Platform,Grafana CDN assets
Grafana Frontend Platform,BackendSrv
Grafana Frontend Platform,"Main flows (Login, navigation)"
Grafana Frontend Platform,Dashboard list panel
Grafana Frontend Platform,Annotations list panel
Grafana Frontend Platform,News panel
Grafana Frontend Platform,Text panel
Grafana Frontend Platform,Settings and config pages (except plugins)
Grafana Frontend Platform,Login flows
Grafana Frontend Platform,Custom branding (white labeling)
Grafana Frontend Platform,Navigation & page layouts
Grafana Frontend Platform,A11y tracking
Grafana Frontend Platform,Legacy Graph panel 
Grafana Frontend Platform,Theming
Grafana Frontend Platform,App notifications (toaster)
Grafana Frontend Platform,grafana/ui components
Grafana Frontend Platform,Timepicker
Grafana Frontend Platform,Search FE
Grafana Frontend Platform,Command palette
Grafana Frontend Platform,Internationalization
Grafana Frontend Platform,storybook
Grafana Frontend Platform,grafana/grafana npm dependencies (mostly wg-frontend-ops)
Grafana Frontend Platform,Renovate setup
Grafana Frontend Platform,Folders (UI)
Grafana Frontend Platform,Restore Dashboards (UI)
Grafana Frontend Platform,Faro implementation in Grafana
Grafana Frontend Platform,Rudderstack Implementation in Grafana
Grafana Frontend Platform,Return to previous
Grafana Frontend Platform,Saga Design System (#grafana-saga-design-system)
Grafana Search and Storage,Dashboard folders (Internal structure)
Grafana Search and Storage,SQL Data layer (not data sources)
Grafana Search and Storage,SearchV2 BE (enterprise search extensions)
Grafana Search and Storage,Unified Storage API
Grafana Search and Storage,Grafana Cloud's Multi-tenant Grafana (product) Databases
Grafana Search and Storage,Grafana Cloud's single-tenant Grafana (product) Databases
Grafana Search and Storage,Database Migrations
Grafana Search and Storage,Resource Quotas
Grafana Search and Storage,"Search V1, dashboard search API"
Grafana Search and Storage,Archive Storage
Grafana Search and Storage,Annotations (Backend API)
Grafana Search and Storage,Provisioning
Grafana Search and Storage,Nested Folders
IAM - Identity,SAML
IAM - Identity,Role based access control (RBAC)
IAM - Identity,Grafana service accounts
IAM - Identity,LDAP
IAM - Identity,Authentication in OSS Grafana
IAM - Identity,Team sync
IAM - Identity,JWT auth
IAM - Identity,OAuth
IAM - Identity,Auth proxy
IAM - Identity,Datasource permissions
IAM - Identity,Settings update runtime
IAM - Identity,API Keys and Cloud Access Policies
IAM - Identity,Anonymous login
IAM - Identity,Dashboard/folder permissions
IAM - Identity,Users
IAM - Identity,Organizations
IAM - Identity,Teams
IAM - Identity,Support bundles
IAM - Identity,Audit logs
IAM - Identity,Secret checks
IAM - Identity,Render auth
IAM - Identity,Hashicorp Vault Integration
IAM - Identity,GCOM OAuth2 identity provider (grafana.com/api/oauth2)
Operator Experience,AlertList Core / Native Plugin
Operator Experience,Amazon Managed Grafana Enterprise Upgrade on AWS Marketplace
Operator Experience,Azure Managed Grafana Enterprise Upgrade on Azure Marketplace
Operator Experience,Marketplace Listings for Cloud Partners
Operator Experience,Triages anything Core Grafana and Amazon-managed
Operator Experience,Triages anything Core Grafana and Azure-managed
Operator Experience,Unified Secrets
Operator Experience,AWS Secrets Manager Integration
Operator Experience,"Licensing (customer license keys, not software licenses)"
Operator Experience,Query and resource caching
Operator Experience,Encryption
Operator Experience,AWS/MS billing
Operator Experience,Enterprise billing (AWS still uses viewer/editor)
Operator Experience,Enterprise to Cloud Automation Experience (E2C)
Operator Experience,Backend for deprecated GE usage insights
Operator Experience,Frontend collector for usage insights
Operator Experience,App Platform Secrets Manager
OSS Big Tent Data Sources,Jaeger data source
OSS Big Tent Data Sources,Zipkin data source
OSS Big Tent Data Sources,Parca data source
OSS Big Tent Data Sources,MySQL data source
OSS Big Tent Data Sources,PostgreSQL data source
OSS Big Tent Data Sources,yesoreyeram-infinity-datasource / Infinity
OSS Big Tent Data Sources,Zabbix app
OSS Big Tent Data Sources,Github data source
OSS Big Tent Data Sources,BigQuery data source plugin
OSS Big Tent Data Sources,Google Sheets data source
OSS Big Tent Data Sources,Zendesk data source plugin
OSS Big Tent Data Sources,Cloudflare data source plugin
OSS Big Tent Data Sources,Yugabyte data source plugin
OSS Big Tent Data Sources,marcusolsson-csv-datasource / CSV
OSS Big Tent Data Sources,marcusolsson-json-datasource / JSON API
OSS Big Tent Data Sources,Simple JSON data source
OSS Big Tent Data Sources,OPC UA Datasource
OSS Big Tent Data Sources,Grafana-Experimental
Partner Data Sources,"Azure Monitor data source (Metrics, Logs, Resource Graph, etc)"
Partner Data Sources,Azure Data Explorer data source
Partner Data Sources,MSSQL data source
Partner Data Sources,Cloud Monitoring data source
Partner Data Sources,Sentry data source
Partner Data Sources,Clickhouse data source
Partner Data Sources,Crowdstrike/Humio/Falcon Logscale data source
Partner Data Sources,Datastax/AstraDB data source
Partner Data Sources,CosmosDB data source
Partner Data Sources,SurrealDB data source
Partner Data Sources,azure sdk
Partner Data Sources,google sdk
Partner Data Sources,InfluxDB data source
Partner Data Sources,Graphite data source
Partner Data Sources,OpenTSDB data source
Partner Data Sources,CockroachDB data source
Plugins Catalog,play.grafana.org - Grafana Playground
Plugins Catalog,Polystat Plugin
Plugins Catalog,Connections console in OSS
Plugins Catalog,Plugin CDN
Plugins Catalog,Plugin commands in grafana-cli
Plugins Catalog,Frontend Sandboxing
Plugins Catalog,Plugin validator
Plugins Catalog,Plugin Installation and (Auto-) Update flows
Plugins Catalog,grafana.com/api/plugins
Plugins Catalog,Plugin catalog on grafana.com and in Grafana UI
Plugins Catalog,Community and Commercial Plugin Reviews
Plugins Catalog,"Plugin Submission and Management Forms on grafana.com"
Plugins Catalog,Levitate (detects breaking changes)
Plugins Platform,Plugin Examples
Plugins Platform,@grafana/create-plugin
Plugins Platform,Grafana toolkit (deprecated)
Plugins Platform,@grafana npm package infrastructure
Plugins Platform,UI Extensions
Plugins Platform,Plugin Platform Documentation
Plugins Platform,SystemJS plugin loading
Plugins Platform,Backend Plugins 
Plugins Platform,grafana-plugin-sdk-go
Plugins Platform,Plugin configuration
Plugins Platform,Remote plugins / Plugin Runner
Plugins Platform,App Config Editor
Plugins Platform,Data Source Config Editor
Plugins Platform,App / CallResource proxy
Plugins Platform,Clock Panel Plugin
Plugins Platform,Detect Breaking Changes GitHub Action
Plugins Platform,"Singlestat Panel Plugin (alive, but no new features, move to stat panel)"
Plugins Platform,Testdatasource
Plugins Platform,Developer Portal
Sharing,Playlists
Sharing,Shared Dashboards (ex Public Dashboards)
Sharing,Snapshots
Sharing,Sharing modal
Sharing,Reporting
Sharing,Image Renderer Plugin
Sharing,Dashboard permissions UX
Sharing,snapshots.raintank.io website
Operator Experience,Grafana Migration Assistant
Operator Experience,Grafana Migration Service
Grafana Frontend Platform,Announcement banner
